               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.020598,           0.0078517,            0.002905,             0.86176,             0.75119,             0.81889,             0.56729,            0.026439,           0.0057651,           0.0081381,            0.004357,            0.004357,            0.004357
                  59,            0.020739,           0.0079585,           0.0028945,             0.86016,               0.771,             0.82332,             0.55981,            0.026972,           0.0057888,           0.0077118,            0.004258,            0.004258,            0.004258
                  60,            0.020854,           0.0080326,           0.0026845,             0.85298,             0.76076,             0.82855,             0.57418,            0.026645,           0.0057315,           0.0077982,            0.004159,            0.004159,            0.004159
                  61,            0.020549,           0.0079262,           0.0028458,             0.89436,             0.74232,             0.81597,             0.55981,             0.02667,           0.0057341,           0.0084777,             0.00406,             0.00406,             0.00406
                  62,            0.020103,           0.0077089,           0.0027168,             0.85942,             0.76374,              0.8226,             0.56314,             0.02656,           0.0057873,           0.0078274,            0.003961,            0.003961,            0.003961
                  63,            0.020162,            0.007774,           0.0026563,             0.88849,             0.75489,             0.83115,             0.57148,            0.026458,           0.0056708,           0.0076614,            0.003862,            0.003862,            0.003862
                  64,            0.020238,           0.0077762,           0.0026405,             0.86308,             0.75408,             0.82666,              0.5731,            0.025821,           0.0057796,           0.0081696,            0.003763,            0.003763,            0.003763
                  65,            0.020163,            0.007828,           0.0029314,             0.87742,              0.7518,             0.82058,             0.56119,            0.027011,           0.0057765,           0.0083449,            0.003664,            0.003664,            0.003664
                  66,            0.019893,           0.0079146,           0.0026389,             0.85902,             0.76235,             0.82852,             0.57652,            0.026449,           0.0057011,           0.0079123,            0.003565,            0.003565,            0.003565
                  67,            0.019679,           0.0077833,            0.002652,             0.88575,             0.77074,             0.83256,             0.57183,            0.026158,            0.005705,           0.0075699,            0.003466,            0.003466,            0.003466
                  68,            0.019698,           0.0077762,           0.0023936,             0.88716,              0.7505,             0.82738,             0.57812,            0.026161,           0.0057019,           0.0083178,            0.003367,            0.003367,            0.003367
                  69,             0.01904,           0.0077367,           0.0025394,             0.86771,              0.7584,             0.82975,             0.57536,            0.026153,           0.0057204,           0.0077406,            0.003268,            0.003268,            0.003268
                  70,            0.019329,           0.0077102,           0.0024627,             0.89031,             0.75541,             0.82963,             0.56085,            0.026903,           0.0057277,           0.0079287,            0.003169,            0.003169,            0.003169
                  71,            0.019395,           0.0076165,           0.0022379,             0.86575,             0.77608,             0.83174,             0.56594,            0.026945,           0.0057081,           0.0076173,             0.00307,             0.00307,             0.00307
                  72,             0.01909,           0.0075005,           0.0023188,             0.87964,             0.78055,             0.83503,             0.57185,            0.026436,           0.0056758,           0.0071393,            0.002971,            0.002971,            0.002971
                  73,            0.018815,           0.0074648,           0.0023033,             0.90257,             0.75614,             0.83506,             0.57755,            0.026146,           0.0056571,           0.0074546,            0.002872,            0.002872,            0.002872
                  74,            0.019293,              0.0074,            0.002283,             0.88382,             0.76999,             0.83202,             0.57719,            0.026077,           0.0057113,           0.0076275,            0.002773,            0.002773,            0.002773
                  75,            0.019059,           0.0074652,           0.0020924,             0.87541,             0.76844,             0.83318,             0.57385,            0.026041,           0.0056979,           0.0076015,            0.002674,            0.002674,            0.002674
                  76,            0.018596,           0.0073686,           0.0019446,             0.88056,             0.77578,             0.83195,             0.57275,            0.026201,           0.0057079,           0.0073356,            0.002575,            0.002575,            0.002575
                  77,            0.018238,           0.0073139,           0.0021472,             0.89008,             0.76561,             0.84226,              0.5771,             0.02619,           0.0056737,           0.0074696,            0.002476,            0.002476,            0.002476
